id,name,fuel,capex,fom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,node,max_build,min_build,initial_capacity,unit_type,scenarios
224,MOUSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.08172,solar,
225,OAKEY1SF,solar,0,18.18,0,0,0,0,SQ,0,0,0.025,solar,
226,OAKEY2SF,solar,0,18.18,0,0,0,0,SQ,0,0,0.05499,solar,
227,RRSF1,solar,0,18.18,0,0,0,0,NQ,0,0,0.11596,solar,
228,RUGBYR1,solar,0,18.18,0,0,0,0,CQ,0,0,0.065,solar,
229,SMCSF1,solar,0,18.18,0,0,0,0,NQ,0,0,0.12116,solar,
230,SRSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.07501,solar,
231,WARWSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.0321,solar,
232,WARWSF2,solar,0,18.18,0,0,0,0,SQ,0,0,0.0321,solar,
233,WDGPH1,solar,0,18.18,0,0,0,0,SQ,0,0,0.39996,solar,
234,WHITSF1,solar,0,18.18,0,0,0,0,CQ,0,0,0.056,solar,
235,YARANSF1,solar,0,18.18,0,0,0,0,SQ,0,0,0.10296,solar,
236,BANN1,solar,0,18.18,0,0,0,0,VIC,0,0,0.088,solar,
237,COHUNSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.02717,solar,
238,GANNSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.05,solar,
239,GLRWNSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.11001,solar,
240,KARSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.09002,solar,
241,KIAMSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.19995,solar,
242,NUMURSF1,solar,0,18.18,0,0,0,0,VIC,0,0,0.09995,solar,
